contributor,bothunter,app
zzak,Human,False
GulajavaMinistudio,Human,False
yklcs,Human,False
melroy89,Human,False
pulkit-30,Human,False
BridgeAR,Human,False
fhinkel,Human,False
eugeneo,Human,False
indutny,Human,False
github-actions[bot],Bot,True
kapouer,Human,False
wraithgar,Human,False
davidben,Human,False
yorkie,Human,False
ujh,Human,False
trivikr,Human,False
bmeck,Human,False
kuriyosh,Human,False
ExE-Boss,Human,False
hadeelshahin,Human,False
bengl,Human,False
RafaelGSS,Human,False
ShogunPanda,Human,False
shipujin,Human,False
nodejs-github-bot,Bot,False
H4ad,Human,False
fossamagna,Human,False
oleavr,Human,False
arcanis,Human,False
marco-ippolito,Human,False
jasongin,Human,False
StefanStojanovic,Human,False
debadree25,Human,False
mhdawson,Human,False
panva,Human,False
sapics,Human,False
mafintosh,Human,False
codecov-commenter,Bot,False
malthe,Human,False
AndreasMadsen,Human,False
